,rowid,kepler_id,koi_name,plnt_disposition,plnt_disp_confidence,flag_nTransitLk,flag_scndEvent,flag_centroidOffset,flag_ephMatch,orbital_period,transit_epoch,impact_parameter,transit_duration,transit_depth,planetary_radius,equ_temp,insolation_flux,transit_sigToNoise,stellar_eff_temp,stellar_surf_gravity,stellar_radius,right_acension,declination,kepler_magnitude
1274,1335,9790806,K02035.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.40593702265566406,0.44834427521357023,0.3122587312768322,0.5952995557948016,0.3073989683551027,0.08224589567298124,0.17486189201029034,0.04420493297290133,0.3386389076092439,0.29228925112420984,0.5482285872815374,0.1332304221871969,1.4162203523513437,0.745428146304197,0.9589970706644949
1275,1336,6382217,K02036.01,CONFIRMED,1.035978531241961,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.3311835026795238,0.41316103102235485,0.3689977628487585,0.46196227141418467,0.3044512311473319,0.08368777727330172,0.7917009131682261,0.048014825607908956,0.3161572718864044,2.4538423700385734,0.9393571794672366,0.1829007672320429,0.9962641038752514,0.5710568209298473,1.064520615268936
1276,1337,5375194,K01825.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.2722117846085675,0.2680144750198507,0.5194838906298146,0.21920378040528055,0.30521550286055527,0.08269448105974762,0.5790098313441027,0.04783069934202459,0.32231014061055,0.4483168530176762,0.5600095689738795,0.1397700914407503,0.6710406413187366,0.9044995975407714,0.30936449470321997
1277,1338,6468138,K01826.01,CONFIRMED,1.0548460932789505,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,1.1206472115860542,0.4338565046393472,0.7967314312653635,0.5853844258072952,0.3035517421309997,0.07846496169880755,0.8850486657465915,0.048050810426185295,0.28113324991819133,0.16057134949341212,0.10208160213564725,0.07997882969397643,1.3428285605954917,0.5341429827171325,0.7080691725172907
1278,1339,10019708,K00199.01,CONFIRMED,1.0800028426616037,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.3905104158245214,0.349372298045935,0.7142019307971071,0.30401472491705483,0.19468535189155106,0.03527259731587415,0.5376183482325453,0.03897547476822587,1.343105768857693,0.29883971214697175,0.6440067599833005,0.003526981991721313,0.6137057851559865,0.8713478968347658,0.41049863001062525
1279,1340,11875734,K01828.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.7225603909448277,0.8788088179618365,0.2697044575978874,0.2272613688877159,0.2982030159410716,0.07683082921844434,0.8874118999890817,0.048051283910636296,0.29485888014897754,0.09059503404241183,0.10290747931107565,0.11516847853452562,1.0827521704909404,1.7498657220981912,0.07617195521974465
1280,1341,7697568,K01829.01,FALSE POSITIVE,1.0142965434442481,0.36743815253174383,1.6575371368726477,0.528209327653692,0.39541432887157024,0.1646978368457072,0.329450583563563,0.8358052498723341,0.43907637593746873,0.2787587677540325,0.006670136346781509,0.6912634578623901,0.04794930719700121,0.2924923921781523,0.39377061820939124,0.5152418385429861,0.13821302733276142,0.926436805563993,0.12561378172831658,1.1654770291007557
1281,1342,7046804,K00205.01,CONFIRMED,1.0779064468797157,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.29300610629988333,0.26810662952904635,0.005352151410503618,0.3750148873523679,0.19853845712883275,0.06401410388226232,0.5695568943741417,0.04781844793185484,0.4880936649985438,0.6043444549111426,0.5765029433431552,0.14693258633749925,0.7121158913935749,0.35468537394730604,0.146402503972315
1282,1343,7449136,K01890.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.37819187729847903,0.4121935905255146,0.028563573417200616,0.19424167141925042,0.3120598500031298,0.083847986340004,0.36746548277324653,0.041842659861283556,0.2920190945839873,0.6197745355538579,0.43901767853657964,0.017229146142023602,0.20707564405958465,0.20599438455354915,1.912230456337401
1283,1344,8680979,K01891.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.2441434193528225,0.24856452200209797,0.39311059303779694,0.21950491060892155,0.3043689249628309,0.08247018836636442,0.672357583922468,0.047932971983441555,0.3026682904527007,1.0153439916061273,0.46340551909668815,0.14148286195953808,0.7607511865225657,0.27352059740628526,0.6899576885885609
1284,1345,8680979,K01891.02,CONFIRMED,1.0611352806246137,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.3329278947637629,0.34957164863381307,0.5904076800947224,0.3870442465399214,0.30982700079788167,0.0851296588736222,0.5057495698269047,0.04772055502160966,0.3271614409507416,1.0153439916061273,0.46340551909668815,0.14148286195953808,0.7607511865225657,0.27352059740628526,0.6899576885885609
